epoch,train_loss,train_Acc,train_Sens,train_Spec,val_loss,val_Acc,val_Sens,val_Spec
75,0.0429,85.5469,82.8125,88.2812,0.4095,79.6875,87.5000,71.8750
76,0.0413,85.9375,87.5000,84.3750,0.4614,82.8125,75.0000,90.6250
77,0.0493,85.5469,82.0312,89.0625,0.5107,73.4375,46.8750,100.0000
78,0.0394,87.8906,86.7188,89.0625,0.2912,82.8125,68.7500,96.8750
79,0.0365,88.6719,86.7188,90.6250,0.5303,79.6875,93.7500,65.6250
80,0.0364,87.5000,86.7188,88.2812,0.3143,87.5000,84.3750,90.6250
81,0.0344,89.8438,90.6250,89.0625,0.2859,87.5000,81.2500,93.7500
82,0.0474,82.8125,82.0312,83.5938,0.3252,85.9375,81.2500,90.6250
83,0.0351,91.0156,89.8438,92.1875,0.2698,89.0625,90.6250,87.5000
84,0.0448,85.5469,84.3750,86.7188,0.4207,90.6250,81.2500,100.0000
85,0.0370,90.2344,89.0625,91.4062,0.2588,85.9375,78.1250,93.7500
86,0.0368,89.0625,86.7188,91.4062,0.2558,95.3125,100.0000,90.6250
87,0.0335,92.5781,92.9688,92.1875,0.4155,82.8125,78.1250,87.5000
88,0.0267,92.1875,90.6250,93.7500,0.3701,87.5000,75.0000,100.0000
89,0.0485,85.1562,81.2500,89.0625,0.2821,85.9375,87.5000,84.3750
90,0.0381,87.1094,86.7188,87.5000,0.3523,84.3750,87.5000,81.2500
91,0.0319,91.7969,90.6250,92.9688,0.3110,84.3750,78.1250,90.6250
92,0.0320,90.2344,89.0625,91.4062,0.2684,85.9375,81.2500,90.6250
93,0.0352,90.6250,89.0625,92.1875,0.3428,82.8125,65.6250,100.0000
94,0.0436,85.5469,82.8125,88.2812,0.4537,79.6875,62.5000,96.8750
95,0.0384,88.6719,90.6250,86.7188,0.4093,82.8125,90.6250,75.0000
96,0.0309,91.4062,88.2812,94.5312,0.3380,89.0625,87.5000,90.6250
97,0.0319,88.6719,85.9375,91.4062,0.2439,89.0625,93.7500,84.3750
98,0.0339,89.4531,89.8438,89.0625,0.5745,73.4375,84.3750,62.5000
99,0.0279,91.4062,92.9688,89.8438,0.4071,82.8125,87.5000,78.1250
