epoch,train_loss,train_Acc,train_Sens,train_Spec,val_loss,val_Acc,val_Sens,val_Spec
75,0.0655,89.4531,88.2812,90.6250,0.5305,81.2500,71.8750,90.6250
76,0.0782,85.5469,82.0312,89.0625,0.5723,79.6875,68.7500,90.6250
77,0.0615,88.6719,82.0312,95.3125,0.5522,79.6875,62.5000,96.8750
78,0.0628,91.0156,89.0625,92.9688,0.6938,73.4375,56.2500,90.6250
79,0.0939,84.7656,82.8125,86.7188,0.4234,84.3750,71.8750,96.8750
80,0.0827,87.5000,85.1562,89.8438,0.3256,82.8125,68.7500,96.8750
81,0.0717,89.0625,83.5938,94.5312,0.6230,73.4375,53.1250,93.7500
82,0.0878,87.1094,85.9375,88.2812,0.5424,76.5625,65.6250,87.5000
83,0.0805,85.1562,81.2500,89.0625,0.3754,81.2500,62.5000,100.0000
84,0.0570,89.4531,83.5938,95.3125,0.6313,73.4375,50.0000,96.8750
85,0.0584,89.4531,86.7188,92.1875,0.4645,75.0000,53.1250,96.8750
86,0.0885,86.7188,82.8125,90.6250,0.2364,89.0625,84.3750,93.7500
87,0.0688,90.2344,90.6250,89.8438,0.4588,79.6875,62.5000,96.8750
88,0.0693,88.6719,83.5938,93.7500,0.4248,81.2500,78.1250,84.3750
89,0.1031,81.6406,77.3438,85.9375,0.3413,85.9375,84.3750,87.5000
90,0.0824,85.1562,79.6875,90.6250,0.3529,82.8125,78.1250,87.5000
91,0.0565,91.0156,88.2812,93.7500,0.4347,81.2500,71.8750,90.6250
92,0.0644,89.0625,85.9375,92.1875,0.5788,78.1250,68.7500,87.5000
93,0.0707,88.2812,85.1562,91.4062,0.3228,85.9375,78.1250,93.7500
94,0.0659,89.0625,85.1562,92.9688,0.4278,79.6875,65.6250,93.7500
95,0.0772,85.9375,81.2500,90.6250,0.4172,82.8125,75.0000,90.6250
96,0.0634,88.6719,84.3750,92.9688,0.3849,85.9375,71.8750,100.0000
97,0.0556,90.6250,89.8438,91.4062,0.4188,84.3750,75.0000,93.7500
98,0.0663,87.5000,82.8125,92.1875,0.5658,78.1250,65.6250,90.6250
99,0.0693,87.8906,83.5938,92.1875,0.3959,79.6875,68.7500,90.6250
